precipitation
0.095
0.06
0.115
0.07
0.45
0.205
0.21
0.155
0.275
0.005
0.215
0.005
0.11
0.455
0.335
0.35
0.425
0.225
0.045
0.105
0.22
0.165
0.25
0.29
0.105
0.34
0.065
